nodes,type,prim_array,prim_heap,prim_heap_optimized,kruskal_array,kruskal_union_find
50,sparse,0.00938,0.00626,0.00326,0.00382,0.0019
50,dense,0.01648,0.02054,0.01718,0.03888,0.0281
100,sparse,0.0282,0.01548,0.0069,0.00948,0.0041
100,dense,0.05736,0.06048,0.04962,0.18194,0.17038
200,sparse,0.08634,0.04552,0.01918,0.02628,0.00748
200,dense,0.19422,0.19604,0.15776,0.79418,0.75636
300,sparse,0.1825,0.08776,0.02842,0.05216,0.01364
300,dense,0.44582,0.3956,0.30062,2.1253,1.97142
400,sparse,0.33534,0.16244,0.06236,0.08614,0.0228
400,dense,0.87854,0.7344,0.53284,3.55364,3.43202
600,sparse,0.72758,0.3497,0.09252,0.1725,0.04962
600,dense,1.7293,1.63938,1.1671,8.76388,8.55468
800,sparse,1.26786,0.6256,0.12838,0.30422,0.08886
800,dense,3.17248,2.5903,1.85348,16.87716,15.96564
