nodes,type,prim_array,prim_heap,prim_heap_optimized,kruskal_array,kruskal_union_find
50,sparse,0.01172,0.00706,0.00364,0.00504,0.00218
50,dense,0.01632,0.01976,0.0155,0.03758,0.0276
100,sparse,0.02846,0.01612,0.00724,0.01012,0.00408
100,dense,0.07786,0.08808,0.07156,0.25964,0.24222
200,sparse,0.08772,0.0469,0.01774,0.02594,0.00746
200,dense,0.24198,0.27528,0.21276,1.19616,1.03728
300,sparse,0.19688,0.09092,0.03082,0.05366,0.01562
300,dense,0.43744,0.4198,0.32538,1.90162,1.92898
400,sparse,0.34092,0.16288,0.0603,0.09458,0.02558
400,dense,0.8278,0.74586,0.55868,3.61182,3.60998
600,sparse,0.71882,0.34188,0.09416,0.17742,0.05324
600,dense,1.9622,1.54316,1.26414,8.82846,8.5988
800,sparse,1.26082,0.5203,0.12434,0.2997,0.0884
800,dense,3.52724,2.79238,1.96374,16.29104,16.51718
15000,sparse,641.6865,183.65348,11.59832,131.21482,19.36804
15000,dense,1133.50812,763.05212,582.365,8719.64442,8649.5616
