machine,run_index,machine_label,matrix_size,requested_threads,actual_threads,time_seconds,check_value 
windows_laptop,1,windows_laptop,2400,1,1,6.970134,10971000.000000
windows_laptop,2,windows_laptop,2400,1,1,19.330191,10971000.000000
windows_laptop,3,windows_laptop,2400,1,1,18.541588,10971000.000000
windows_laptop,1,windows_laptop,2400,2,2,6.824133,10971000.000000
windows_laptop,2,windows_laptop,2400,2,2,6.824153,10971000.000000
windows_laptop,3,windows_laptop,2400,2,2,6.663140,10971000.000000
windows_laptop,1,windows_laptop,2400,4,4,2.447432,10971000.000000
windows_laptop,2,windows_laptop,2400,4,4,2.355173,10971000.000000
windows_laptop,3,windows_laptop,2400,4,4,2.496157,10971000.000000
windows_laptop,1,windows_laptop,2400,8,8,1.503371,10971000.000000
windows_laptop,2,windows_laptop,2400,8,8,1.514384,10971000.000000
windows_laptop,3,windows_laptop,2400,8,8,1.746302,10971000.000000
windows_laptop,1,windows_laptop,2400,16,16,1.043823,10971000.000000
windows_laptop,2,windows_laptop,2400,16,16,1.003479,10971000.000000
windows_laptop,3,windows_laptop,2400,16,16,1.050595,10971000.000000
windows_laptop,1,windows_laptop,2400,24,24,0.774214,10971000.000000
windows_laptop,2,windows_laptop,2400,24,24,0.862028,10971000.000000
windows_laptop,3,windows_laptop,2400,24,24,0.826641,10971000.000000
windows_laptop,1,windows_laptop,2400,32,32,0.739269,10971000.000000
windows_laptop,2,windows_laptop,2400,32,32,0.739747,10971000.000000
windows_laptop,3,windows_laptop,2400,32,32,0.826491,10971000.000000
windows_laptop,1,windows_laptop,2400,48,48,0.723516,10971000.000000
windows_laptop,2,windows_laptop,2400,48,48,0.721912,10971000.000000
windows_laptop,3,windows_laptop,2400,48,48,0.721893,10971000.000000
windows_laptop,1,windows_laptop,2400,64,64,0.632501,10971000.000000
windows_laptop,2,windows_laptop,2400,64,64,0.699334,10971000.000000
windows_laptop,3,windows_laptop,2400,64,64,0.661327,10971000.000000
